stationId,stationName,stationLongitude,stationLatitude,parkingQRBikeCnt,parkingELECBikeCnt,parkingTotBikeCnt
ST-4,102. 망원역 1번출구 앞,126.91062927,37.5556488,5,1,6
ST-5,103. 망원역 2번출구 앞,126.91083527,37.55495071,2,3,5
ST-6,104. 합정역 1번출구 앞,126.91498566,37.55062866,5,1,6
ST-7,105. 합정역 5번출구 앞,126.91482544,37.55000687,2,0,2
ST-8,106. 합정역 7번출구 앞,126.91282654,37.54864502,4,0,4
ST-9,107. 신한은행 서교동지점,126.91850281,37.55751038,1,0,1
ST-10,108. 서교동 사거리,126.91861725,37.55274582,2,0,2
ST-11,109. 제일빌딩 앞,126.91998291,37.54769135,6,1,7
ST-15,111. 상수역 2번출구 앞,126.92353058,37.54787064,3,0,3
ST-16,112. 극동방송국 앞,126.92320251,37.54920197,2,0,2
ST-18,113. 홍대입구역 2번출구 앞,126.9238205,37.5574379,37,3,40
ST-20,114. 홍대입구역 8번출구 앞,126.92442322,37.55706024,0,0,0
ST-12,115. 마스타 빌딩 앞,126.92711639,37.55893326,0,0,0
ST-17,117. 홍은사거리,126.94132996,37.59115982,6,0,6
ST-19,118. 광흥창역 2번출구 앞,126.9317627,37.54773331,2,0,2
ST-21,119. 서강나루 공원,126.93105316,37.54528427,0,14,14
ST-22,120. 신수동 사거리,126.93411255,37.54524231,1,0,1
ST-23,121. 마포소방서 앞,126.93317413,37.54976654,1,0,1
ST-24,122. 신성기사식당 앞,126.93837738,37.54745865,3,1,4
ST-25,123. 문화촌 공원,126.9473877,37.59432983,14,2,16
ST-26,124. 서강대 정문 건너편,126.93698883,37.55113983,0,0,0
ST-27,125. 서강대 남문 옆,126.93894958,37.54948425,7,1,8
ST-28,126. 서강대 후문 옆,126.94384766,37.55041122,27,0,27
ST-29,127. 현대벤처빌 앞,126.93695068,37.5535202,0,0,0
ST-30,128. 신촌역(2호선) 1번출구 옆,126.93634033,37.55549622,0,0,0
ST-31,129. 신촌역(2호선) 6번출구 옆,126.93756866,37.55505371,1,0,1
ST-32,130. 신촌역(2호선) 7번출구 앞,126.93615723,37.55485916,0,2,2
ST-33,131. 증산2교,126.91110229,37.5841713,57,4,61
ST-35,133. 해담는다리,126.90899658,37.58203125,24,10,34
ST-36,134. 연세로 명물길,126.93807983,37.55789185,0,0,0
ST-37,135. 명물길 원형무대 앞,126.93984222,37.55922699,3,0,3
ST-39,137. 신촌기차역입구 교차로,126.9431839,37.55681229,0,0,0
ST-40,138. 신촌동 제1공영주차장 앞,126.93452454,37.5591774,5,0,5
ST-43,139. 연세대 정문 건너편,126.93441772,37.55986404,4,1,5
ST-41,140. 이화여대 후문,126.94073486,37.560009,8,1,9
ST-42,141. 연대 대운동장 옆,126.93264771,37.56238174,0,0,0
ST-200,142. 아현역 4번출구 앞,126.95566559,37.55720139,5,4,9
ST-201,143. 공덕역 2번출구,126.9502182,37.54457855,8,0,8
ST-202,144. 공덕역 8번출구,126.95132446,37.5435791,21,3,24
ST-203,145. 공덕역 5번출구,126.95163727,37.54425049,14,15,29
ST-204,146. 마포역 2번출구 뒤,126.94582367,37.53993607,20,0,20
ST-205,147. 마포역 4번출구 뒤,126.94591522,37.53927231,8,4,12
ST-206,148. 용강동 주민센터 앞,126.94302368,37.54234695,23,6,29
ST-207,150. 서강대역 2번출구 앞,126.93434143,37.55295563,1,0,1
ST-210,153. 성산2교 사거리,126.91261292,37.56469727,0,0,0
ST-211,154. 마포구청역 ,126.90549469,37.56090927,20,6,26
ST-212,155. 가좌역1 번출구 앞,126.91504669,37.56829453,4,4,8
ST-213,156. 서울서부지방법원 앞,126.95491791,37.54933167,11,3,14
ST-214,157. 애오개역 4번출구 앞,126.95668793,37.5530014,35,4,39
ST-216,159. 이대역 4번 출구,126.94634247,37.55695343,1,0,1
ST-217,160. 북아현동 가구거리,126.9593811,37.55754852,0,0,0
ST-218,161. 무악재역1번 출구,126.95064545,37.58224487,0,0,0
ST-219,162. 봉원고가차도 밑,126.94624329,37.56526947,1,0,1
ST-220,163. 명지전문대학교 정문 앞,126.9249649,37.58369827,3,0,3
ST-221,164. 북가좌1동 주민센터 ,126.91004944,37.57447815,4,0,4
ST-222,165. 중앙근린공원,126.91394043,37.57513809,3,1,4
ST-223,166. 가재울 초등학교,126.91923523,37.57381821,4,9,13
ST-224,167. 연가초등학교 옆,126.91712952,37.57946014,12,1,13
ST-226,169. 북가좌 삼거리,126.90779877,37.57300186,2,2,4
ST-227,170. DMC파크뷰자이아파트 302동 앞,126.9224472,37.57311249,19,3,22
ST-228,171. 임광빌딩 앞,126.96727753,37.56472397,4,1,5
ST-230,173. 서대문역 8번출구 앞,126.96614838,37.56477737,0,2,2
ST-231,175. 홍연2교옆,126.93088531,37.57806778,13,0,13
ST-555,176. 명지대학교 도서관,126.92402649,37.58109665,18,1,19
ST-345,177. 북가좌 초등학교,126.9098053,37.57767487,21,1,22
ST-349,178. 증산3교 앞,126.90634918,37.57987595,28,3,31
ST-232,179. 가좌역 4번출구 앞,126.91529846,37.56877518,27,0,27
ST-233,180. 충정로역 7번출구 아래,126.96246338,37.55996704,0,0,0
ST-339,181. 망원초록길 입구,126.90267181,37.55134201,8,0,8
ST-340,182. 망원2빗물펌프장 앞,126.90306091,37.5513649,3,1,4
ST-341,183. 하늘채코오롱아파트 건너편,126.91939545,37.56516647,3,2,5
ST-342,184. 7번가피자 서교망원점,126.90775299,37.55894852,35,4,39
ST-343,185. 마포 신수공원 앞,126.93429565,37.54254532,15,2,17
